time, x
0.000000, 0.100000
0.010000, 0.100396
0.020000, 0.100793
0.030000, 0.101191
0.040000, 0.101591
0.050000, 0.101992
0.060000, 0.102393
0.070000, 0.102796
0.080000, 0.103200
0.090000, 0.103606
0.100000, 0.104012
0.110000, 0.104420
0.120000, 0.104829
0.130000, 0.105239
0.140000, 0.105650
0.150000, 0.106062
0.160000, 0.106475
0.170000, 0.106890
0.180000, 0.107306
0.190000, 0.107723
0.200000, 0.108141
0.210000, 0.108560
0.220000, 0.108981
0.230000, 0.109402
0.240000, 0.109825
0.250000, 0.110249
0.260000, 0.110674
0.270000, 0.111100
0.280000, 0.111528
0.290000, 0.111956
0.300000, 0.112386
0.310000, 0.112817
0.320000, 0.113249
0.330000, 0.113682
0.340000, 0.114116
0.350000, 0.114552
0.360000, 0.114989
0.370000, 0.115426
0.380000, 0.115865
0.390000, 0.116305
0.400000, 0.116747
0.410000, 0.117189
0.420000, 0.117633
0.430000, 0.118078
0.440000, 0.118524
0.450000, 0.118971
0.460000, 0.119419
0.470000, 0.119868
0.480000, 0.120319
0.490000, 0.120770
0.500000, 0.121223
0.510000, 0.121677
0.520000, 0.122132
0.530000, 0.122588
0.540000, 0.123046
0.550000, 0.123504
0.560000, 0.123964
0.570000, 0.124425
0.580000, 0.124887
0.590000, 0.125350
0.600000, 0.125814
0.610000, 0.126279
0.620000, 0.126746
0.630000, 0.127213
0.640000, 0.127682
0.650000, 0.128152
0.660000, 0.128623
0.670000, 0.129095
0.680000, 0.129568
0.690000, 0.130042
0.700000, 0.130518
0.710000, 0.130995
0.720000, 0.131472
0.730000, 0.131951
0.740000, 0.132431
0.750000, 0.132912
0.760000, 0.133394
0.770000, 0.133877
0.780000, 0.134362
0.790000, 0.134847
0.800000, 0.135334
0.810000, 0.135821
0.820000, 0.136310
0.830000, 0.136800
0.840000, 0.137291
0.850000, 0.137783
0.860000, 0.138276
0.870000, 0.138770
0.880000, 0.139266
0.890000, 0.139762
0.900000, 0.140259
0.910000, 0.140758
0.920000, 0.141257
0.930000, 0.141758
0.940000, 0.142260
0.950000, 0.142763
0.960000, 0.143267
0.970000, 0.143772
0.980000, 0.144278
0.990000, 0.144785
1.000000, 0.145293
1.010000, 0.145802
1.020000, 0.146312
1.030000, 0.146823
1.040000, 0.147336
1.050000, 0.147849
1.060000, 0.148363
1.070000, 0.148879
1.080000, 0.149395
1.090000, 0.149913
1.100000, 0.150431
1.110000, 0.150951
1.120000, 0.151472
1.130000, 0.151993
1.140000, 0.152516
1.150000, 0.153039
1.160000, 0.153564
1.170000, 0.154090
1.180000, 0.154616
1.190000, 0.155144
1.200000, 0.155673
1.210000, 0.156202
1.220000, 0.156733
1.230000, 0.157264
1.240000, 0.157797
1.250000, 0.158331
1.260000, 0.158865
1.270000, 0.159401
1.280000, 0.159937
1.290000, 0.160475
1.300000, 0.161013
1.310000, 0.161553
1.320000, 0.162093
1.330000, 0.162634
1.340000, 0.163177
1.350000, 0.163720
1.360000, 0.164264
1.370000, 0.164809
1.380000, 0.165355
1.390000, 0.165902
1.400000, 0.166450
1.410000, 0.166999
1.420000, 0.167548
1.430000, 0.168099
1.440000, 0.168651
1.450000, 0.169203
1.460000, 0.169756
1.470000, 0.170311
1.480000, 0.170866
1.490000, 0.171422
1.500000, 0.171979
1.510000, 0.172537
1.520000, 0.173095
1.530000, 0.173655
1.540000, 0.174216
1.550000, 0.174777
1.560000, 0.175339
1.570000, 0.175902
1.580000, 0.176466
1.590000, 0.177031
1.600000, 0.177596
1.610000, 0.178163
1.620000, 0.178730
1.630000, 0.179298
1.640000, 0.179867
1.650000, 0.180437
1.660000, 0.181008
1.670000, 0.181579
1.680000, 0.182151
1.690000, 0.182724
1.700000, 0.183298
1.710000, 0.183873
1.720000, 0.184448
1.730000, 0.185024
1.740000, 0.185601
1.750000, 0.186179
1.760000, 0.186758
1.770000, 0.187337
1.780000, 0.187917
1.790000, 0.188498
1.800000, 0.189080
1.810000, 0.189662
1.820000, 0.190245
1.830000, 0.190829
1.840000, 0.191413
1.850000, 0.191999
1.860000, 0.192585
1.870000, 0.193171
1.880000, 0.193759
1.890000, 0.194347
1.900000, 0.194936
1.910000, 0.195526
1.920000, 0.196116
1.930000, 0.196707
1.940000, 0.197299
1.950000, 0.197891
1.960000, 0.198484
1.970000, 0.199078
1.980000, 0.199672
1.990000, 0.200267
2.000000, 0.200863
2.010000, 0.201459
2.020000, 0.202056
2.030000, 0.202654
2.040000, 0.203252
2.050000, 0.203851
2.060000, 0.204450
2.070000, 0.205050
2.080000, 0.205651
2.090000, 0.206252
2.100000, 0.206854
2.110000, 0.207457
2.120000, 0.208060
2.130000, 0.208664
2.140000, 0.209268
2.150000, 0.209873
2.160000, 0.210478
2.170000, 0.211084
2.180000, 0.211691
2.190000, 0.212298
2.200000, 0.212906
2.210000, 0.213514
2.220000, 0.214123
2.230000, 0.214732
2.240000, 0.215342
2.250000, 0.215952
2.260000, 0.216563
2.270000, 0.217175
2.280000, 0.217786
2.290000, 0.218399
2.300000, 0.219012
2.310000, 0.219625
2.320000, 0.220239
2.330000, 0.220853
2.340000, 0.221468
2.350000, 0.222083
2.360000, 0.222699
2.370000, 0.223315
2.380000, 0.223932
2.390000, 0.224549
2.400000, 0.225167
2.410000, 0.225784
2.420000, 0.226403
2.430000, 0.227022
2.440000, 0.227641
2.450000, 0.228260
2.460000, 0.228880
2.470000, 0.229501
2.480000, 0.230122
2.490000, 0.230743
2.500000, 0.231365
2.510000, 0.231986
2.520000, 0.232609
2.530000, 0.233232
2.540000, 0.233855
2.550000, 0.234478
2.560000, 0.235102
2.570000, 0.235726
2.580000, 0.236350
2.590000, 0.236975
2.600000, 0.237600
2.610000, 0.238225
2.620000, 0.238851
2.630000, 0.239477
2.640000, 0.240104
2.650000, 0.240730
2.660000, 0.241357
2.670000, 0.241984
2.680000, 0.242612
2.690000, 0.243239
2.700000, 0.243867
2.710000, 0.244496
2.720000, 0.245124
2.730000, 0.245753
2.740000, 0.246382
2.750000, 0.247011
2.760000, 0.247641
2.770000, 0.248271
2.780000, 0.248900
2.790000, 0.249531
2.800000, 0.250161
2.810000, 0.250792
2.820000, 0.251422
2.830000, 0.252053
2.840000, 0.252684
2.850000, 0.253316
2.860000, 0.253947
2.870000, 0.254579
2.880000, 0.255211
2.890000, 0.255843
2.900000, 0.256475
2.910000, 0.257107
2.920000, 0.257740
2.930000, 0.258372
2.940000, 0.259005
2.950000, 0.259638
2.960000, 0.260271
2.970000, 0.260904
2.980000, 0.261537
2.990000, 0.262170
3.000000, 0.262803
3.010000, 0.263437
3.020000, 0.264070
3.030000, 0.264704
3.040000, 0.265338
3.050000, 0.265971
3.060000, 0.266605
3.070000, 0.267239
3.080000, 0.267873
3.090000, 0.268507
3.100000, 0.269141
3.110000, 0.269775
3.120000, 0.270409
3.130000, 0.271043
3.140000, 0.271677
3.150000, 0.272312
3.160000, 0.272946
3.170000, 0.273580
3.180000, 0.274214
3.190000, 0.274848
3.200000, 0.275482
3.210000, 0.276116
3.220000, 0.276750
3.230000, 0.277384
3.240000, 0.278018
3.250000, 0.278652
3.260000, 0.279286
3.270000, 0.279920
3.280000, 0.280554
3.290000, 0.281188
3.300000, 0.281821
3.310000, 0.282455
3.320000, 0.283088
3.330000, 0.283722
3.340000, 0.284355
3.350000, 0.284989
3.360000, 0.285622
3.370000, 0.286255
3.380000, 0.286888
3.390000, 0.287521
3.400000, 0.288153
3.410000, 0.288786
3.420000, 0.289418
3.430000, 0.290051
3.440000, 0.290683
3.450000, 0.291315
3.460000, 0.291947
3.470000, 0.292578
3.480000, 0.293210
3.490000, 0.293841
3.500000, 0.294473
3.510000, 0.295104
3.520000, 0.295735
3.530000, 0.296365
3.540000, 0.296996
3.550000, 0.297626
3.560000, 0.298256
3.570000, 0.298886
3.580000, 0.299516
3.590000, 0.300145
3.600000, 0.300774
3.610000, 0.301404
3.620000, 0.302032
3.630000, 0.302661
3.640000, 0.303289
3.650000, 0.303917
3.660000, 0.304545
3.670000, 0.305173
3.680000, 0.305800
3.690000, 0.306427
3.700000, 0.307054
3.710000, 0.307681
3.720000, 0.308307
3.730000, 0.308933
3.740000, 0.309559
3.750000, 0.310184
3.760000, 0.310809
3.770000, 0.311434
3.780000, 0.312058
3.790000, 0.312683
3.800000, 0.313306
3.810000, 0.313930
3.820000, 0.314553
3.830000, 0.315176
3.840000, 0.315799
3.850000, 0.316421
3.860000, 0.317043
3.870000, 0.317665
3.880000, 0.318286
3.890000, 0.318907
3.900000, 0.319527
3.910000, 0.320148
3.920000, 0.320767
3.930000, 0.321387
3.940000, 0.322006
3.950000, 0.322625
3.960000, 0.323243
3.970000, 0.323861
3.980000, 0.324479
3.990000, 0.325096
4.000000, 0.325713
4.010000, 0.326329
4.020000, 0.326945
4.030000, 0.327561
4.040000, 0.328176
4.050000, 0.328790
4.060000, 0.329405
4.070000, 0.330019
4.080000, 0.330632
4.090000, 0.331245
4.100000, 0.331858
4.110000, 0.332470
4.120000, 0.333082
4.130000, 0.333693
4.140000, 0.334304
4.150000, 0.334914
4.160000, 0.335524
4.170000, 0.336134
4.180000, 0.336743
