time, x
0.000000, 10.000000
0.010000, 9.990099
0.020000, 9.980267
0.030000, 9.970505
0.040000, 9.960810
0.050000, 9.951183
0.060000, 9.941623
0.070000, 9.932130
0.080000, 9.922702
0.090000, 9.913339
0.100000, 9.904041
0.110000, 9.894808
0.120000, 9.885637
0.130000, 9.876530
0.140000, 9.867485
0.150000, 9.858502
0.160000, 9.849580
0.170000, 9.840719
0.180000, 9.831919
0.190000, 9.823178
0.200000, 9.814496
0.210000, 9.805874
0.220000, 9.797309
0.230000, 9.788802
0.240000, 9.780353
0.250000, 9.771960
0.260000, 9.763623
0.270000, 9.755343
0.280000, 9.747118
0.290000, 9.738947
0.300000, 9.730831
0.310000, 9.722769
0.320000, 9.714761
0.330000, 9.706805
0.340000, 9.698902
0.350000, 9.691052
0.360000, 9.683253
0.370000, 9.675505
0.380000, 9.667809
0.390000, 9.660163
0.400000, 9.652567
0.410000, 9.645021
0.420000, 9.637524
0.430000, 9.630075
0.440000, 9.622676
0.450000, 9.615324
0.460000, 9.608020
0.470000, 9.600764
0.480000, 9.593554
0.490000, 9.586391
0.500000, 9.579274
0.510000, 9.572203
0.520000, 9.565178
0.530000, 9.558197
0.540000, 9.551262
0.550000, 9.544370
0.560000, 9.537523
0.570000, 9.530719
0.580000, 9.523959
0.590000, 9.517242
0.600000, 9.510567
0.610000, 9.503935
0.620000, 9.497344
0.630000, 9.490796
0.640000, 9.484289
0.650000, 9.477822
0.660000, 9.471397
0.670000, 9.465012
0.680000, 9.458667
0.690000, 9.452361
0.700000, 9.446096
0.710000, 9.439869
0.720000, 9.433681
0.730000, 9.427532
0.740000, 9.421421
0.750000, 9.415348
0.760000, 9.409313
0.770000, 9.403315
0.780000, 9.397355
0.790000, 9.391431
0.800000, 9.385544
0.810000, 9.379693
0.820000, 9.373878
0.830000, 9.368099
0.840000, 9.362356
0.850000, 9.356647
0.860000, 9.350974
0.870000, 9.345335
0.880000, 9.339731
0.890000, 9.334161
0.900000, 9.328625
0.910000, 9.323123
0.920000, 9.317654
0.930000, 9.312219
0.940000, 9.306816
0.950000, 9.301446
0.960000, 9.296109
0.970000, 9.290803
0.980000, 9.285530
0.990000, 9.280289
1.000000, 9.275079
1.010000, 9.269900
1.020000, 9.264753
1.030000, 9.259637
1.040000, 9.254551
1.050000, 9.249495
1.060000, 9.244470
1.070000, 9.239475
1.080000, 9.234509
1.090000, 9.229574
1.100000, 9.224667
1.110000, 9.219790
1.120000, 9.214941
1.130000, 9.210122
1.140000, 9.205331
1.150000, 9.200568
1.160000, 9.195833
1.170000, 9.191127
1.180000, 9.186448
1.190000, 9.181797
1.200000, 9.177173
1.210000, 9.172576
1.220000, 9.168006
1.230000, 9.163463
1.240000, 9.158947
1.250000, 9.154457
1.260000, 9.149993
1.270000, 9.145555
1.280000, 9.141143
1.290000, 9.136757
1.300000, 9.132397
1.310000, 9.128061
1.320000, 9.123751
1.330000, 9.119466
1.340000, 9.115206
1.350000, 9.110971
1.360000, 9.106760
1.370000, 9.102573
1.380000, 9.098410
1.390000, 9.094272
1.400000, 9.090157
1.410000, 9.086066
1.420000, 9.081999
1.430000, 9.077955
1.440000, 9.073934
1.450000, 9.069936
1.460000, 9.065961
1.470000, 9.062009
1.480000, 9.058079
1.490000, 9.054172
1.500000, 9.050287
1.510000, 9.046424
1.520000, 9.042583
1.530000, 9.038765
1.540000, 9.034967
1.550000, 9.031192
1.560000, 9.027437
1.570000, 9.023705
1.580000, 9.019993
1.590000, 9.016302
1.600000, 9.012632
1.610000, 9.008983
1.620000, 9.005354
1.630000, 9.001746
1.640000, 8.998158
1.650000, 8.994590
1.660000, 8.991043
1.670000, 8.987515
1.680000, 8.984007
1.690000, 8.980519
1.700000, 8.977050
1.710000, 8.973601
1.720000, 8.970171
1.730000, 8.966760
1.740000, 8.963368
1.750000, 8.959995
1.760000, 8.956641
1.770000, 8.953306
1.780000, 8.949989
1.790000, 8.946691
1.800000, 8.943411
1.810000, 8.940149
1.820000, 8.936905
1.830000, 8.933679
1.840000, 8.930471
1.850000, 8.927281
1.860000, 8.924109
1.870000, 8.920953
1.880000, 8.917816
1.890000, 8.914696
1.900000, 8.911592
1.910000, 8.908506
1.920000, 8.905437
1.930000, 8.902385
